gene_names,tau,std,stat,rej,pvalue,padj,pvalue_emp_null_adj,padj_emp_null_adj
DGKB,0.02369417261497559,0.06866852759992093,0.3450514150095578,0.0,0.7309466646548652,0.8946830984454825,0.8357297327262201,0.9972311548296766
NACAD,0.11714811269851852,0.09295111605517543,1.2603195923863877,0.0,0.21110987566901107,0.513552710029823,0.4213068396560443,0.9972311548296766
MMD2,0.30142918450799105,0.1557028772474104,1.9359255900520256,0.0,0.05633996992329389,0.24820187443287772,0.2144358783473658,0.9227855163429326
ZFHX2,0.21306117323014762,0.07619131323032512,2.796397177012386,0.0,0.006430106465379425,0.06278045087006467,0.07309665624790825,0.6912217512281741
ABHD17C,0.03880299719371103,0.06433216008438558,0.6031663967572748,0.0,0.5480443170419496,0.7988215609766981,0.7069310949051124,0.9972311548296766
MYCBPAP,-0.09346496101564036,0.11577608721257208,-0.8072907218226584,0.0,0.42191235525482296,0.7115090847169946,0.5855057734389687,0.9972311548296766
CHAD,-0.051057404733822254,0.24208142985278422,-0.21091004281027065,0.0,0.8334751432762539,0.9358372613250853,0.875992735749776,0.9972311548296766
BRIP1,0.18465847197634075,0.13158138682728743,1.403378368543279,0.0,0.16446516197716327,0.4536675892310245,0.3698295276848431,0.9951510957147287
SCN2A,0.0540043066693154,0.03273470891813034,1.649756739990584,0.0,0.10278065377618958,0.3531473477276227,0.29062147719934756,0.9717670650172353
TBR1,0.03705253298178776,0.08107114651502775,0.4570372391972959,0.0,0.6488446128034951,0.8539200244856024,0.7790642001270326,0.9972311548296766
ERMN,0.05502980074899378,0.25190245532634337,0.21845678589238782,0.0,0.8276103134786434,0.9335861173899337,0.9008157693411678,0.9972311548296766
GALNT5,-0.010929898790440642,0.30339740128128634,-0.036025024421047346,0.0,0.9713490281188717,0.9875211568716493,0.9667131726237161,0.9973902057670463
CFC1,0.1366124525300044,0.24335603926868635,0.5613686553271534,0.0,0.5761496847148581,0.8160855503474819,0.7273758440709306,0.9972311548296766
GAD2,0.2832083529588152,0.21653153956788262,1.3079311841775798,0.0,0.19458166004375632,0.49303936082650257,0.40369947913292037,0.9972311548296766
ZFP37,-0.20336810207155273,0.12440770752632067,-1.6346905357815276,0.0,0.10590133777696709,0.35827263703188406,0.278804054714369,0.9665822183491282
KIF12,-0.24112065730174947,0.1833868316738888,-1.3148199088281702,0.0,0.19248729033299367,0.4897515730179875,0.3813937095675676,0.9971209502947193
GARNL3,-0.03344932348189974,0.06332798087069082,-0.5281918517219079,0.0,0.5990164249581925,0.8283508211892863,0.7165075008332628,0.9972311548296766
GABBR2,0.012565162743394106,0.04241547305623057,0.29624007085188836,0.0,0.7677875256366089,0.9101246228094164,0.8607090855375734,0.9972311548296766
HEMGN,-0.3325154204906468,0.2779896975069055,-1.1961429631124616,0.0,0.23560665257257604,0.5413935065594265,0.42488815773234156,0.9972311548296766
CTSV,0.05266213629116387,0.23099937154189396,0.2279752362080045,0.0,0.8202309772604904,0.9305199455847236,0.8958940739888095,0.9972311548296766
DSCC1,-0.09848739565246618,0.13031109117568118,-0.7557867466529666,0.0,0.45208739129019004,0.7341309334162108,0.608849016596597,0.9972311548296766
DMRT1,0.2628031965955967,0.20653009346737913,1.2724692667468616,0.0,0.2069565729734736,0.5085981265274939,0.4168757548250458,0.9972311548296766
DNAJB5,0.13536381424628902,0.2631884914292842,0.5143226951572833,0.0,0.6085392028191545,0.8339794599210618,0.7505980696343955,0.9972311548296766
SPAG8,-0.39510616448957464,0.1307362488981573,-3.0221623139681775,0.0,0.003340167948131777,0.04011597877886235,0.04878817047757895,0.5983548650582645
TMEM8B,-0.033004751499936535,0.04846827189887265,-0.6809558130894329,0.0,0.49788420893462315,0.7664628826868782,0.6433807288962343,0.9972311548296766
ARHGEF39,0.12118013993318838,0.2067114888600982,0.5862283736691712,0.0,0.5593984844618258,0.8059288932800363,0.7152192500372248,0.9972311548296766
IGFBPL1,0.08959945811330532,0.13586958354833645,0.6594519227434723,0.0,0.5114892040771619,0.776896739142496,0.6798404879410582,0.9972311548296766
SLC22A7,-0.19807827309099105,0.24734334616792383,-0.8008231317308765,0.0,0.42557886216397744,0.7140746269275716,0.5883783399686251,0.9972311548296766
CAPN11,-0.054804511540857054,0.2407428615807679,-0.2276475039841231,0.0,0.8205792178502908,0.9307168736176985,0.8674489527571485,0.9972311548296766
TINAG,-0.1883265498104401,0.1391618978289944,-1.353291042652066,0.0,0.17966058538531804,0.47428640895921437,0.36777318034611073,0.9945935039648189
HCRTR2,-0.30897568667656605,0.19054216489751047,-1.6215607020249772,0.0,0.10874643437310429,0.363914732028678,0.2826375173608276,0.968252892359589
KIAA0319,-0.031668473657289455,0.06166693364578304,-0.5135405927460938,0.0,0.6089538652881785,0.8340979556103064,0.7235179582687123,0.9972311548296766
FOXF2,0.21610254419238448,0.15983690961167918,1.3520190343857474,0.0,0.18004515017466763,0.4744711806279708,0.3877248416267689,0.9972311548296766
C6orf52,-0.10662182776416708,0.17031005040266098,-0.6260454242840221,0.0,0.5330093310722107,0.7906801251002175,0.6692203416559293,0.9972311548296766
FHDC1,-0.05250709269828244,0.14680289374121686,-0.35767069272382046,0.0,0.7215057500464246,0.8902366057481546,0.8010772628058317,0.9972311548296766
MGARP,0.3649598554546087,0.21267905515868243,1.7160122099578996,0.0,0.09005096690488602,0.327826797073923,0.2716289518508115,0.966483368644805
TTC29,0.29399714955951245,0.16639493434792416,1.766863580983649,0.0,0.08101518729115258,0.30827821974888253,0.2575006000704291,0.9559664791134006
RAB30,0.06239259856034219,0.047505497440738155,1.3133763863471863,0.0,0.19289905462472295,0.49029670812660164,0.4018113576624389,0.9972311548296766
NARS2,0.10115295379504367,0.055940659546517855,1.8082188271471704,0.0,0.07419803142808513,0.29352854292450636,0.24636972373324734,0.9514042210174972
TTPA,-0.2106810640115521,0.14009397182017883,-1.503855314217068,0.0,0.13646179523025123,0.41069613714493897,0.31816403855061703,0.985275570666833
SLCO5A1,-0.09616641814216356,0.11605586505882336,-0.8286217856669393,0.0,0.4097278363003556,0.7032470060741196,0.5759335329631368,0.9972311548296766
CFAP300,0.08982683603827141,0.17113413883197634,0.524891390177068,0.0,0.6010585101813012,0.8295466119499896,0.7452823442489109,0.9972311548296766
POU2F3,0.18020367834899695,0.17777508360696176,1.0136610524532477,0.0,0.3139400792915306,0.6194267134834864,0.5199227772380812,0.9972311548296766
ARHGAP20,-0.06262551376000866,0.04975755029064123,-1.2586132836967203,0.0,0.21191536687978182,0.5145584062251858,0.4014992733508336,0.9972311548296766
UNC13C,0.10431949375512231,0.06839900306715008,1.5251610268750209,0.0,0.1310208217884081,0.4029494348244043,0.32902520229013166,0.9863189458560687
KIF23,-0.15946043617397476,0.16436368189500072,-0.9701683141646932,0.0,0.3348130966620412,0.6401137233229163,0.514683728740642,0.9972311548296766
ITGA11,0.19890461716064117,0.2634837690815212,0.7549027321645023,0.0,0.4525361293833001,0.7344453877176028,0.634828971953757,0.9972311548296766
KNL1,0.01066760157644216,0.1428322021033372,0.07468625015473956,0.0,0.9406488273206008,0.9761119965204657,0.9755533468332371,0.9973902057670463
PAQR5,-0.016059087947687088,0.20765154964144728,-0.07733671130996314,0.0,0.9385469766647877,0.9750996746848943,0.9452026981706534,0.9973177726808413
ITPKA,0.1696175706527456,0.09065472816592063,1.871028396249817,0.0,0.06558526827802337,0.2726321120277211,0.23092687176400448,0.9396261431719601
TMEM62,-0.031419602669406264,0.046729442123342124,-0.6723727320877143,0.0,0.5032680704916914,0.7708338233685269,0.6473775416841319,0.9972311548296766
PAK6,0.102787907935986,0.06839769320960068,1.50279787391365,0.0,0.13669613883117293,0.4111187453068982,0.3362658386008842,0.9891264474800422
DUOX1,-0.6824683857423772,0.10407586298795012,-6.557412700208821,0.0,4.834134072284155e-09,7.179944716581524e-07,4.444975713318076e-05,0.006688811150705549
SLC28A2,-0.7890801748124913,0.15492929014514464,-5.093163300969403,0.0,2.2062720857439527e-06,0.00012616015354305357,0.001192452537816549,0.06717972142235942
STRA6,-0.12371526707013786,0.2584306502890697,-0.4787174699740729,0.0,0.6334037568488051,0.8456598254963064,0.7406225255248098,0.9972311548296766
BCL2L10,0.2636877954558944,0.19022048277084463,1.3862218811291451,0.0,0.1694549561954368,0.4604898672993021,0.37568274841022964,0.9958501849249008
