"","gene_names"
"851","AL035409.1"
"852","PIGK"
"853","AK5"
"854","AC095030.1"
"855","AC118549.1"
"856","USP33"
"857","MIGA1"
"858","NEXN-AS1"
"859","NEXN"
"860","FUBP1"
"861","DNAJB4"
"862","GIPC2"
"863","AC103591.3"
"864","PTGFR"
"865","IFI44L"
"866","IFI44"
"867","ADGRL4"
"868","AC099671.1"
"869","LINC01781"
"870","ADGRL2"
"871","AL138799.4"
"872","AC117944.1"
"873","AC093580.1"
"874","LINC01362"
"875","LINC01361"
"876","LINC01725"
"877","AL035706.1"
"878","TTLL7"
"879","AL359504.2"
"880","PRKACB"
"881","SAMD13"
"882","DNASE2B"
"883","RPF1"
"884","GNG5"
"885","SPATA1"
"886","CTBS"
"887","SSX2IP"
"888","LPAR3"
"889","MCOLN2"
"890","WDR63"
"891","MCOLN3"
"892","SYDE2"
"893","C1ORF52"
"894","BCL10"
"895","AL078459.1"
"896","DDAH1"
"897","CYR61"
"898","ZNHIT6"
"899","COL24A1"
"900","AL136382.1"
"901","ODF2L"
"902","CLCA1"
"903","AL356270.1"
"904","AL049597.2"
"905","SH3GLB1"
"906","SELENOF"
"907","HS2ST1"
"908","AC093155.3"
"909","AC099062.1"
"910","LMO4"
"911","LINC01364"
"912","PKN2-AS1"
"913","PKN2"
"914","GTF2B"
"915","KYAT3"
"916","GBP1"
"917","GBP2"
"918","GBP4"
"919","LRRC8B"
"920","LRRC8C-DT"
"921","AC093423.3"
"922","LRRC8D"
"923","ZNF326"
"924","BARHL2"
"925","LINC01763"
"926","ZNF644"
"927","HFM1"
"928","CDC7"
"929","TGFBR3"
"930","BRDT"
"931","EPHX4"
"932","SETSIP"
"933","BTBD8"
"934","AC104836.1"
"935","C1ORF146"
"936","GLMN"
"937","RPAP2"
"938","EVI5"
"939","RPL5"
"940","FAM69A"
"941","MTF2"
"942","TMED5"
"943","CCDC18"
"944","DR1"
"945","FNBP1L"
"946","BCAR3"
"947","DNTTIP2"
"948","GCLM"
"949","ABCA4"
"950","ARHGAP29"
"951","AC097059.1"
"952","ABCD3"
"953","F3"
"954","SLC44A3"
"955","CNN3"
"956","AC105942.1"
"957","ALG14"
"958","TMEM56-RWDD3"
"959","AC092802.1"
"960","AC092802.2"
"961","AL356479.1"
"962","LINC01787"
"963","PTBP2"
"964","DPYD"
"965","DPYD-AS1"
"966","MIR137HG"
"967","LINC01776"
"968","SNX7"
"969","PLPPR5"
"970","AL445433.2"
"971","PLPPR4"
"972","LINC01708"
"973","PALMD"
"974","FRRS1"
"975","AGL"
"976","AC118553.1"
"977","AC118553.2"
"978","MFSD14A"
"979","AC093019.2"
"980","SASS6"
