"","gene_names"
"594","ARID1B"
"595","CLPTM1L"
"596","NEDD4L"
"597","PPP1R3F"
"598","HEXB"
"599","PTCD2"
"600","NEXMIF"
"601","JKAMP"
"602","DKK3"
"603","NFE2L3"
"604","MCUR1"
"605","LIMA1"
"606","LETMD1"
"607","SLC4A8"
"608","LAMC3"
"609","PTGER3"
"610","TNIP3"
"611","MAPK9"
"612","COL23A1"
"613","BCAR1"
"614","FHIP1B"
"615","HERPUD1"
"616","RAD51"
"617","POLQ"
"618","PIK3CB"
"619","CYBA"
"620","THOC3"
"621","HEBP2"
"622","MPHOSPH9"
"623","PLEKHA5"
"624","SIKE1"
"625","RRP12"
"626","FNIP2"
"627","MSMO1"
"628","TTC17"
"629","ALX4"
"630","FSTL4"
"631","FOXN3"
"632","METTL24"
"633","AKR7A2"
"634","MRTO4"
"635","NNAT"
"636","USE1"
"637","MCF2L2"
"638","NRIP2"
"639","LAMA3"
"640","AP5M1"
"641","ANAPC4"
"642","KCNQ1"
"643","TRAPPC3"
"644","THRAP3"
"645","PHPT1"
"646","ENTPD2"
"647","LY75"
"648","ARID4B"
"649","OPN3"
"650","SDCCAG8"
"651","PTPRN"
"652","HHAT"
"653","KIF1B"
"654","TBC1D22A"
"655","SYNE2"
"656","PLEKHH1"
"657","ATP9A"
"658","CBLN4"
"659","FAM168A"
"660","RELT"
"661","GALC"
"662","NOP58"
"663","SZRD1"
"664","KCNH2"
"665","CUL1"
"666","FAM114A2"
"667","CYFIP2"
"668","TAB2"
"669","GINM1"
"670","EIF2AK2"
"671","USP36"
"672","KMT2C"
"673","MCOLN3"
"674","CCDC85A"
"675","PUM2"
"676","MRPL43"
"677","ITIH4"
"678","HPF1"
"679","ZFR"
"680","ZNF280C"
"681","NPFFR2"
"682","PHF21B"
"683","TRAF1"
"684","RC3H2"
"685","IL17RB"
"686","TRAF3IP2"
"687","GYG2"
"688","DCBLD2"
"689","SOAT1"
"690","PKP2"
"691","MSH4"
"692","GDI2"
"693","PRDM1"
"694","ATG5"
"695","TMCC3"
"696","PITHD1"
"697","MTA3"
"698","USP13"
"699","ATP11B"
"700","LAMC2"
"701","CDK14"
"702","SEC61A1"
"703","PPP1R12A"
"704","RASGRF1"
"705","CAMK2B"
"706","CROCC"
"707","POLR3E"
"708","ATP2B4"
"709","ZC3H11A"
"710","RIOK2"
"711","YIPF1"
"712","NDC1"
"713","DGKG"
"714","FLYWCH1"
"715","UNKL"
"716","TBXAS1"
"717","PARP12"
"718","ALDH18A1"
"719","TARBP1"
"720","GATB"
"721","MXD1"
"722","CDK17"
"723","DNAJC25"
"724","SLC2A3"
"725","PSD"
"726","CTDP1"
"727","YBX3"
"728","STYK1"
"729","WNK1"
"730","CCAR1"
"731","OGFR"
"732","GNA15"
"733","CREB3L3"
"734","PIGV"
"735","PTPRU"
"736","SNRNP40"
"737","RIMBP2"
"738","COL11A1"
"739","QSER1"
"740","MPC1"
"741","ACAA1"
"742","BCAT1"
"743","HDAC7"
"744","LZTS1"
"745","PRDM6"
"746","WNT8A"
"747","SPAG4"
"748","NCKAP1"
"749","MRPS35"
"750","GUCY1B1"
"751","SFSWAP"
"752","TNK2"
"753","MON2"
"754","CDH3"
"755","ARSF"
"756","GPBP1"
"757","DGAT2"
"758","ZNF112"
"759","CS"
"760","LTK"
"761","MRPS24"
"762","ELMO2"
"763","WAPL"
"764","VMP1"
"765","APPBP2"
"766","POLD1"
"767","SEZ6"
"768","EIF4B"
"769","SLC6A16"
"770","BICRA"
"771","SPHK2"
"772","RPL18"
"773","CA11"
"774","ISOC2"
"775","U2AF2"
"776","EPN1"
"777","MED29"
"778","AHRR"
"779","ZNF275"
"780","MTMR1"
"781","GPC1"
"782","ADCK1"
"783","HAGH"
"784","RNF4"
"785","CASP8"
"786","LIMCH1"
"787","INTS13"
"788","TM7SF3"
"789","SPA17"
"790","CCN5"
"791","DMRT3"
"792","ST3GAL6"
"793","ATP2C2"
"794","CDON"
"795","TAF2"
"796","HIPK2"
"797","TNPO3"
"798","RFXANK"
"799","TMEM161A"
"800","LPAR2"
"801","CTSA"
"802","SUGP2"
"803","SLC12A2"
"804","SNX24"
"805","EYA2"
"806","ABCA7"
"807","SNCAIP"
"808","DDX20"
"809","BTBD1"
"810","FAR2"
"811","BCAS1"
"812","SBNO2"
"813","PMS1"
"814","HMG20B"
"815","CALCRL"
"816","TAF11"
"817","ANKS1A"
"818","AP3D1"
"819","ZNF76"
"820","NHERF2"
"821","NTHL1"
"822","BLTP3A"
"823","GNAI3"
"824","IPO5"
"825","OAT"
"826","WDR3"
"827","PKN2"
"828","WDR18"
"829","TRAM2"
"830","NTN1"
"831","GLP2R"
"832","MCM10"
"833","DGKA"
"834","ERBB3"
"835","ANKRD44"
"836","KARS1"
"837","ADAT1"
"838","PDIA5"
"839","TBC1D22B"
"840","NDUFB4"
"841","SPEN"
"842","MYLK"
"843","ZC3H15"
"844","MAP2K4"
"845","PACC1"
"846","SNAP91"
"847","SLK"
"848","CYB5R4"
"849","GSTO2"
"850","SEC61A2"
"851","PRKCQ"
"852","TLE2"
"853","ASB1"
"854","FAM107B"
"855","ME1"
"856","TBC1D1"
"857","CDK13"
"858","MTHFD2"
"859","SLC9A7"
"860","FOXJ2"
"861","YBX1"
"862","PDE4A"
"863","PPP2R5A"
"864","CTNNA2"
"865","ELAVL1"
"866","TIE1"
"867","DIP2B"
"868","SMARCD1"
"869","KDM4A"
"870","NFYC"
"871","ZMYND12"
"872","SLC9A3"
"873","NGEF"
"874","ASPM"
"875","CD84"
"876","ELOVL1"
"877","SPI1"
"878","POLR1H"
"879","MPPED2"
"880","CLDN18"
"881","ZBTB11"
"882","ATXN3"
"883","GOLGA5"
"884","FGFR2"
"885","LRRC40"
"886","ISOC1"
"887","EML1"
"888","TRMT11"
"889","THUMPD1"
"890","MSANTD3"
"891","KIF26A"
"892","ATG2B"
"893","ARFGEF1"
"894","ZFAT"
"895","MTFR1"
"896","STAG3"
"897","FECH"
"898","MYO9A"
"899","DDX3Y"
"900","PFKP"
"901","IDI1"
"902","SP100"
"903","KLF6"
"904","PLPP1"
"905","NEO1"
"906","TRAM1"
"907","PHKA1"
"908","TNFRSF1A"
"909","CACNB1"
"910","EVI5"
"911","STOML1"
"912","PKM"
"913","DHX29"
"914","DNTTIP2"
"915","METTL22"
"916","TP53BP1"
"917","TRO"
"918","RRP15"
"919","RHOA"
"920","DHX8"
"921","PRKCZ"
"922","ZFY"
"923","IARS2"
"924","SYT1"
"925","NAV3"
"926","IDH3G"
"927","ROGDI"
"928","PDZD4"
"929","ATP2B3"
"930","ROCK1"
"931","CBFB"
"932","PDK3"
"933","HYAL2"
"934","HDAC4"
"935","RASSF1"
"936","FGFR3"
"937","IFI35"
"938","HEATR6"
"939","COASY"
"940","PLEKHH3"
"941","MEF2A"
"942","OTUD5"
"943","TFE3"
"944","TBC1D25"
"945","ACSL4"
"946","INPP5A"
"947","GPKOW"
"948","GRIPAP1"
"949","FTSJ1"
"950","PRR11"
"951","REEP1"
"952","ATP11A"
"953","POLR1A"
"954","LAPTM4A"
"955","TTC7A"
"956","IP6K2"
"957","STON1-GTF2A1L"
"958","SRBD1"
"959","KIF2A"
"960","RASGRP2"
"961","PSME4"
"962","IFT80"
"963","SIRT2"
"964","ERLEC1"
"965","PPP2R5B"
"966","TRPC7"
"967","MAST4"
"968","ADGRF5"
"969","SDK2"
"970","ADAM7"
"971","NUP133"
"972","NUCKS1"
"973","VPS35"
"974","DNAJA2"
"975","BCL3"
"976","KCNAB2"
"977","ABCC9"
"978","CLEC2D"
"979","FUNDC1"
"980","MAOB"
"981","RORA"
"982","DRD4"
"983","TGFBR3"
"984","PLA2G10"
"985","HES2"
"986","ATP1B3"
"987","NEDD4"
"988","PIGB"
"989","MAPK6"
"990","GNB5"
"991","RAB27A"
"992","HDHD5"
"993","UFD1"
"994","LRP6"
"995","GUCY2C"
"996","PHRF1"
"997","ELP1"
"998","NUCB2"
"999","PFN2"
"1000","PTPN3"
"1001","SPTB"
"1002","FGF10"
"1003","SLC44A1"
"1004","TMEM260"
"1005","SMG6"
"1006","EXOC5"
"1007","CLTCL1"
"1008","FGF22"
"1009","FSTL3"
"1010","DGCR2"
"1011","RNF126"
"1012","MNT"
"1013","ZXDC"
"1014","JMJD6"
"1015","POLB"
"1016","ST6GALNAC1"
"1017","WIPI1"
"1018","FRMPD1"
"1019","GBA2"
"1020","NDST1"
"1021","ASNS"
"1022","AP3M2"
"1023","CNGB1"
"1024","ST6GALNAC2"
"1025","PABPC1"
"1026","TESK2"
"1027","CFAP20"
"1028","CSNK2A2"
"1029","PTPN21"
"1030","EIF2B3"
"1031","CAMK2A"
"1032","TCOF1"
"1033","CDC42"
"1034","OSBPL3"
"1035","EPHA8"
"1036","SLC12A3"
"1037","RAD18"
"1038","ATP2B1"
"1039","NCK2"
"1040","MAP4K4"
"1041","MGAT4A"
"1042","RPL31"
"1043","WDR1"
"1044","SNX13"
"1045","ARHGAP10"
"1046","RPS6KA2"
"1047","ING3"
"1048","VASH1"
"1049","LMCD1"
"1050","BUD23"
"1051","SEL1L"
"1052","TRIP13"
"1053","ATP6AP1"
"1054","TCF3"
"1055","TRIB2"
"1056","DAZAP1"
"1057","MBD3"
"1058","HLTF"
"1059","FAM50A"
"1060","FAM3A"
"1061","CPSF1"
"1062","MYO3B"
"1063","CYBRD1"
"1064","CDH19"
"1065","PDCD2"
"1066","SLC6A15"
"1067","RDH11"
"1068","PRKACA"
"1069","ADGRL1"
"1070","ACTN1"
"1071","ZFYVE26"
"1072","RPS6KA6"
"1073","EPN2"
"1074","PTPN18"
"1075","LIMS2"
"1076","ASIC4"
"1077","SPEG"
"1078","LNX1"
"1079","ALDH3A2"
"1080","TFRC"
"1081","SREBF1"
"1082","TRPC5"
"1083","AFF4"
"1084","UBE2D1"
"1085","PALS1"
"1086","RHOBTB1"
"1087","SMC1A"
"1088","HSD17B10"
"1089","MARK2"
"1090","HMMR"
"1091","CHFR"
"1092","TRHDE"
"1093","P4HA2"
"1094","NFATC3"
"1095","TRNT1"
"1096","ACADVL"
"1097","STK10"
"1098","FBXW11"
"1099","ACAP1"
"1100","CRMP1"
"1101","EVC"
"1102","DERL2"
"1103","SIDT1"
"1104","NDE1"
"1105","IRAG1"
"1106","TMEM38A"
"1107","AP1M1"
"1108","PVR"
"1109","XRCC1"
"1110","SCARB1"
"1111","MCM2"
"1112","MOV10L1"
"1113","PANX2"
"1114","SELENOO"
"1115","TP63"
"1116","ALPK1"
"1117","LLGL2"
"1118","PDE8A"
"1119","CLCN4"
"1120","NLE1"
"1121","SDHA"
"1122","SMARCE1"
"1123","GSDMB"
"1124","KDM5A"
"1125","ADAM11"
"1126","PPP2R3A"
"1127","FERMT2"
"1128","ABCB11"
"1129","PTGS2"
"1130","IGF2BP2"
"1131","MAP3K13"
"1132","ST6GAL1"
"1133","FRY"
"1134","PICALM"
"1135","NSF"
"1136","GLI2"
"1137","CLASP1"
"1138","MRPS34"
"1139","NOTCH3"
"1140","CLNS1A"
"1141","PPP2R2C"
"1142","EED"
"1143","CDHR2"
"1144","SNCB"
"1145","TSG101"
"1146","NCBP3"
"1147","ATP2A3"
"1148","CA12"
"1149","MGLL"
"1150","NTN4"
"1151","BCS1L"
"1152","NUAK1"
"1153","DPP8"
"1154","SLC24A1"
"1155","ZNF532"
"1156","SCARF1"
"1157","LMAN1"
"1158","HACD3"
"1159","IPCEF1"
"1160","ZZEF1"
"1161","ENO1"
"1162","SLC12A1"
"1163","MYDGF"
"1164","ANO8"
"1165","TUBE1"
"1166","ARHGEF10L"
"1167","TXK"
"1168","WSCD2"
"1169","KCNQ2"
"1170","ACTR6"
"1171","TIPIN"
"1172","SRI"
"1173","EIF4G3"
"1174","NUP37"
"1175","SEMA3A"
"1176","GTSE1"
"1177","SEMA3C"
"1178","TTC38"
"1179","ACAT1"
"1180","GRAMD4"
"1181","CELSR1"
"1182","ZNF638"
"1183","SLC25A40"
"1184","TIMM21"
"1185","ADD2"
"1186","RASAL2"
"1187","VPS9D1"
"1188","ZNF37A"
